Creater_name,title,thumbnail_url,videoid,video_url,like,comment_count
Hitesh Choudhary,Learn to build file based routing from scratch like Nextjs,https://i.ytimg.com/vi/zg06ec5arCs/default.jpg,zg06ec5arCs,https://www.youtube.com/watch?v=zg06ec5arCs,256,33
Hitesh Choudhary,AI just killed more jobs,https://i.ytimg.com/vi/eLyISYdoVac/default.jpg,eLyISYdoVac,https://www.youtube.com/watch?v=eLyISYdoVac,865,139
Hitesh Choudhary,Why your social skills sucks,https://i.ytimg.com/vi/cGOUnq9U8hg/default.jpg,cGOUnq9U8hg,https://www.youtube.com/watch?v=cGOUnq9U8hg,649,113
Hitesh Choudhary,Fullstack nextjs course with mongodb and appwrite,https://i.ytimg.com/vi/7ahDnxnXheU/default.jpg,7ahDnxnXheU,https://www.youtube.com/watch?v=7ahDnxnXheU,411,27
Hitesh Choudhary,Monitor for coders,https://i.ytimg.com/vi/P1xDCeg10FY/default.jpg,P1xDCeg10FY,https://www.youtube.com/watch?v=P1xDCeg10FY,621,63
Hitesh Choudhary,Appwrite Nextjs and context api,https://i.ytimg.com/vi/eSYvfCoWIzA/default.jpg,eSYvfCoWIzA,https://www.youtube.com/watch?v=eSYvfCoWIzA,68,14
Hitesh Choudhary,The Real Engineering Mindset | Degree Vs Non-Degree,https://i.ytimg.com/vi/LQbK5w873vg/default.jpg,LQbK5w873vg,https://www.youtube.com/watch?v=LQbK5w873vg,867,163
Hitesh Choudhary,Nextjs componets to talk to Appwrite,https://i.ytimg.com/vi/fyEA1R4lFyQ/default.jpg,fyEA1R4lFyQ,https://www.youtube.com/watch?v=fyEA1R4lFyQ,61,9
Hitesh Choudhary,How to integrate appwrite to nextjs,https://i.ytimg.com/vi/1SMO6kWb9Eo/default.jpg,1SMO6kWb9Eo,https://www.youtube.com/watch?v=1SMO6kWb9Eo,87,6
Hitesh Choudhary,AI is your friend. Use @getpieces to learn DSA in a easy way and it’s free,https://i.ytimg.com/vi/BQyJRfEXsM8/default.jpg,BQyJRfEXsM8,https://www.youtube.com/watch?v=BQyJRfEXsM8,343,14
Hitesh Choudhary,Nextjs meets Appwrite,https://i.ytimg.com/vi/n1edxEq8syI/default.jpg,n1edxEq8syI,https://www.youtube.com/watch?v=n1edxEq8syI,259,48
Hitesh Choudhary,Complete Nextjs fullstack Authentication course,https://i.ytimg.com/vi/eaQc7vbV4po/default.jpg,eaQc7vbV4po,https://www.youtube.com/watch?v=eaQc7vbV4po,611,66
Hitesh Choudhary,Nextjs Deployment,https://i.ytimg.com/vi/qJkey7UPyiw/default.jpg,qJkey7UPyiw,https://www.youtube.com/watch?v=qJkey7UPyiw,91,22
Hitesh Choudhary,User verification email in nextjs,https://i.ytimg.com/vi/_BqkCRgCdng/default.jpg,_BqkCRgCdng,https://www.youtube.com/watch?v=_BqkCRgCdng,152,21
Hitesh Choudhary,Middleware in nextjs | Nextjs fullstack course,https://i.ytimg.com/vi/UgRw9lhhWDk/default.jpg,UgRw9lhhWDk,https://www.youtube.com/watch?v=UgRw9lhhWDk,165,46
Hitesh Choudhary,NextJS fullstack course | Signup and login,https://i.ytimg.com/vi/2RxaJrltJKo/default.jpg,2RxaJrltJKo,https://www.youtube.com/watch?v=2RxaJrltJKo,316,67
Hitesh Choudhary,Nextjs Full stack course,https://i.ytimg.com/vi/iPGXk-i-VYU/default.jpg,iPGXk-i-VYU,https://www.youtube.com/watch?v=iPGXk-i-VYU,1216,143
Hitesh Choudhary,VSCode setup for a productive coder in 2023,https://i.ytimg.com/vi/SVm2vjcCyZU/default.jpg,SVm2vjcCyZU,https://www.youtube.com/watch?v=SVm2vjcCyZU,843,48
Hitesh Choudhary,React native windows installation,https://i.ytimg.com/vi/8l691BQ-RGc/default.jpg,8l691BQ-RGc,https://www.youtube.com/watch?v=8l691BQ-RGc,249,37
Hitesh Choudhary,Here is a hack for developers. @getpieces,https://i.ytimg.com/vi/8KgQEk22sYY/default.jpg,8KgQEk22sYY,https://www.youtube.com/watch?v=8KgQEk22sYY,1458,22
Hitesh Choudhary,Future is AI and Low code tools | illa cloud,https://i.ytimg.com/vi/mPpHs5C-Qaw/default.jpg,mPpHs5C-Qaw,https://www.youtube.com/watch?v=mPpHs5C-Qaw,441,33
Hitesh Choudhary,Scared of cloud bills for learning ?,https://i.ytimg.com/vi/N97UKuiIlOc/default.jpg,N97UKuiIlOc,https://www.youtube.com/watch?v=N97UKuiIlOc,498,62
Hitesh Choudhary,Saturday live with Wess from Appwrite | 20+ years of code,https://i.ytimg.com/vi/RdEmvav6ZpE/default.jpg,RdEmvav6ZpE,https://www.youtube.com/watch?v=RdEmvav6ZpE,376,5
